As Of;Currency;NAV;Securities In Issue;Net Assets;Fund Return Series;Benchmark Return Series
03/Feb/2021;EUR;5,40;74.546.582,00;402.281.404,63;107,92;109,09
02/Feb/2021;EUR;5,38;75.175.740,00;404.817.632,84;107,69;108,86
01/Feb/2021;EUR;5,38;75.175.740,00;404.141.401,79;107,51;108,66
29/Jan/2021;EUR;5,37;75.175.740,00;403.565.588,81;107,35;108,49
28/Jan/2021;EUR;5,37;75.175.740,00;403.399.127,35;107,31;108,45
27/Jan/2021;EUR;5,37;75.175.740,00;403.995.688,63;107,47;108,62
26/Jan/2021;EUR;5,38;75.175.740,00;404.298.086,45;107,55;108,70
25/Jan/2021;EUR;5,38;74.225.740,00;399.492.294,31;107,63;108,78
22/Jan/2021;EUR;5,39;74.225.740,00;399.731.044,33;107,70;108,81
21/Jan/2021;EUR;5,39;74.225.740,00;399.844.608,24;107,73;108,84
20/Jan/2021;EUR;5,38;75.179.016,00;404.496.247,97;107,60;108,74
19/Jan/2021;EUR;5,37;75.179.016,00;403.883.490,35;107,43;108,57
18/Jan/2021;EUR;5,37;75.179.016,00;403.647.316,29;107,37;108,51
15/Jan/2021;EUR;5,37;75.179.016,00;403.850.072,83;107,43;108,54
14/Jan/2021;EUR;5,37;70.179.016,00;377.014.367,19;107,43;108,54
13/Jan/2021;EUR;5,37;69.909.026,00;375.381.718,41;107,38;108,51
12/Jan/2021;EUR;5,37;69.959.026,00;375.717.412,07;107,40;108,53
11/Jan/2021;EUR;5,37;69.259.018,00;372.243.814,37;107,48;108,61
08/Jan/2021;EUR;5,37;69.259.018,00;372.244.210,08;107,48;108,58
07/Jan/2021;EUR;5,37;68.417.869,00;367.407.040,70;107,39;108,49
06/Jan/2021;EUR;5,36;68.317.869,00;366.496.682,75;107,28;108,40
05/Jan/2021;EUR;5,36;68.317.869,00;366.278.665,70;107,22;108,33
04/Jan/2021;EUR;5,36;67.757.279,00;363.168.420,34;107,19;108,30
31/Dec/2020;EUR;5,35;67.757.279,00;362.577.036,94;107,01;108,11
30/Dec/2020;EUR;5,35;67.801.062,00;362.780.939,52;107,00;108,10
29/Dec/2020;EUR;5,35;67.821.730,00;362.730.397,02;106,95;108,08
24/Dec/2020;EUR;5,35;67.821.730,00;362.564.591,16;106,91;107,98
23/Dec/2020;EUR;5,35;67.821.730,00;362.536.141,26;106,90;107,97
22/Dec/2020;EUR;5,34;61.771.711,00;329.981.454,17;106,83;107,94
21/Dec/2020;EUR;5,34;61.736.711,00;329.787.128,43;106,83;107,94
18/Dec/2020;EUR;5,35;61.136.711,00;327.207.282,02;107,03;108,12
17/Dec/2020;EUR;5,35;61.136.711,00;327.155.451,31;107,01;108,11
16/Dec/2020;EUR;5,35;61.136.711,00;326.898.536,50;106,93;108,04
15/Dec/2020;EUR;5,35;61.136.711,00;326.807.299,00;106,90;108,01
14/Dec/2020;EUR;5,35;63.146.986,00;337.601.400,83;106,91;108,03
11/Dec/2020;EUR;5,35;63.086.986,00;337.303.266,60;106,92;108,01
10/Dec/2020;EUR;5,35;62.666.463,00;335.416.514,72;107,04;108,12
09/Dec/2020;EUR;5,35;63.026.463,00;337.392.123,45;107,05;108,16
08/Dec/2020;EUR;5,35;62.476.463,00;334.259.977,64;106,99;108,09
07/Dec/2020;EUR;5,35;62.476.463,00;334.245.174,15;106,99;108,09
04/Dec/2020;EUR;5,35;62.896.458,00;336.216.619,84;106,90;107,98
03/Dec/2020;EUR;5,34;63.036.458,00;336.380.134,81;106,71;107,79
02/Dec/2020;EUR;5,33;49.115.787,00;261.685.313,38;106,55;107,64
01/Dec/2020;EUR;5,32;49.115.787,00;261.306.770,47;106,39;107,49
30/Nov/2020;EUR;5,31;49.115.787,00;261.018.104,01;106,28;107,38
27/Nov/2020;EUR;5,31;49.115.787,00;260.924.541,17;106,24;107,32
26/Nov/2020;EUR;5,31;48.965.787,00;260.036.384,60;106,20;107,29
25/Nov/2020;EUR;5,31;48.870.070,00;259.324.068,51;106,12;107,23
24/Nov/2020;EUR;5,30;49.430.070,00;261.946.456,45;105,98;107,09
23/Nov/2020;EUR;5,29;49.430.070,00;261.244.660,66;105,69;106,81
20/Nov/2020;EUR;5,28;49.430.070,00;260.744.492,47;105,49;106,61
19/Nov/2020;EUR;5,27;49.387.465,00;260.321.880,19;105,41;106,53
18/Nov/2020;EUR;5,27;49.271.676,00;259.652.374,41;105,39;106,51
17/Nov/2020;EUR;5,26;49.271.676,00;259.414.652,92;105,29;106,41
16/Nov/2020;EUR;5,26;51.021.676,00;268.280.619,18;105,15;106,28
13/Nov/2020;EUR;5,24;51.021.676,00;267.478.095,58;104,84;105,94
12/Nov/2020;EUR;5,24;59.421.508,00;311.526.361,52;104,84;105,94
11/Nov/2020;EUR;5,24;58.816.508,00;308.341.642,96;104,84;105,96
10/Nov/2020;EUR;5,24;58.816.508,00;308.105.896,05;104,76;105,88
09/Nov/2020;EUR;5,23;58.816.508,00;307.689.964,61;104,62;105,73
06/Nov/2020;EUR;5,19;67.028.435,00;347.755.806,32;103,75;104,84
05/Nov/2020;EUR;5,18;65.578.435,00;339.815.127,84;103,63;104,71
04/Nov/2020;EUR;5,15;65.959.746,00;339.510.815,16;102,93;104,02
03/Nov/2020;EUR;5,14;65.959.746,00;338.757.161,99;102,71;103,79
02/Nov/2020;EUR;5,11;65.959.746,00;337.146.686,14;102,22;103,29
30/Oct/2020;EUR;5,11;66.659.746,00;340.465.805,31;102,14;103,21
29/Oct/2020;EUR;5,11;65.693.746,00;335.922.533,45;102,26;103,33
28/Oct/2020;EUR;5,13;65.273.746,00;334.531.958,88;102,49;103,58
27/Oct/2020;EUR;5,15;65.328.746,00;336.693.443,08;103,07;104,14
26/Oct/2020;EUR;5,16;65.328.746,00;336.902.874,46;103,13;104,21
23/Oct/2020;EUR;5,16;65.608.777,00;338.725.463,46;103,25;104,30
22/Oct/2020;EUR;5,16;66.075.114,00;340.805.433,51;103,15;104,20
21/Oct/2020;EUR;5,16;66.380.759,00;342.346.366,81;103,14;104,21
20/Oct/2020;EUR;5,15;66.380.759,00;342.012.115,71;103,03;104,11
19/Oct/2020;EUR;5,15;66.380.759,00;341.930.445,04;103,01;104,09
16/Oct/2020;EUR;5,15;66.380.759,00;341.535.761,08;102,89;103,95
15/Oct/2020;EUR;5,14;66.360.759,00;341.198.789,09;102,82;103,87
14/Oct/2020;EUR;5,16;66.360.759,00;342.165.739,39;103,11;104,19
13/Oct/2020;EUR;5,16;66.360.759,00;342.330.419,40;103,16;104,23
12/Oct/2020;EUR;5,16;66.360.759,00;342.267.707,31;103,14;104,21
09/Oct/2020;EUR;5,15;66.360.759,00;341.898.772,06;103,03;104,08
08/Oct/2020;EUR;5,15;66.176.872,00;340.739.674,20;102,97;104,01
07/Oct/2020;EUR;5,14;66.176.872,00;340.058.264,14;102,76;103,82
06/Oct/2020;EUR;5,13;66.176.872,00;339.763.573,73;102,67;103,73
05/Oct/2020;EUR;5,12;66.176.872,00;339.153.180,39;102,49;103,54
02/Oct/2020;EUR;5,11;66.176.872,00;338.346.485,75;102,24;103,27
01/Oct/2020;EUR;5,11;66.176.872,00;338.194.929,46;102,20;103,22
30/Sept/2020;EUR;5,09;65.916.872,00;335.783.838,82;101,87;102,92
29/Sept/2020;EUR;5,09;65.832.075,00;335.120.323,69;101,80;102,85
28/Sept/2020;EUR;5,09;66.051.959,00;335.948.173,26;101,71;102,77
25/Sept/2020;EUR;5,08;66.051.959,00;335.574.706,60;101,60;102,64
24/Sept/2020;EUR;5,10;66.051.959,00;336.848.186,79;101,98;103,02
23/Sept/2020;EUR;5,12;66.051.959,00;338.268.923,02;102,41;103,46
22/Sept/2020;EUR;5,12;65.881.959,00;337.191.518,82;102,35;103,40
21/Sept/2020;EUR;5,14;65.881.959,00;338.340.708,54;102,70;103,75
18/Sept/2020;EUR;5,16;65.861.959,00;339.535.227,45;103,09;104,12
17/Sept/2020;EUR;5,16;65.661.959,00;338.490.811,07;103,09;104,11
16/Sept/2020;EUR;5,16;65.661.959,00;338.602.414,31;103,12;104,17
15/Sept/2020;EUR;5,15;65.499.960,00;337.592.292,22;103,07;104,11
14/Sept/2020;EUR;5,15;65.499.960,00;337.381.365,21;103,01;104,05
11/Sept/2020;EUR;5,15;65.445.171,00;337.115.087,79;103,01;104,01
10/Sept/2020;EUR;5,15;65.445.171,00;337.154.303,45;103,02;104,02
09/Sept/2020;EUR;5,14;65.245.177,00;335.672.581,39;102,89;103,90
08/Sept/2020;EUR;5,14;65.245.177,00;335.647.285,40;102,88;103,89
07/Sept/2020;EUR;5,15;65.325.177,00;336.189.867,40;102,92;103,93
04/Sept/2020;EUR;5,15;65.325.177,00;336.172.983,48;102,91;103,90
03/Sept/2020;EUR;5,15;65.325.177,00;336.307.717,29;102,95;103,96
02/Sept/2020;EUR;5,14;65.325.177,00;335.772.979,99;102,79;103,80
01/Sept/2020;EUR;5,13;65.325.177,00;335.307.931,89;102,65;103,65
31/Aug/2020;EUR;5,13;65.325.177,00;335.039.042,76;102,57;103,59
28/Aug/2020;EUR;5,13;65.325.177,00;335.009.529,88;102,56;103,56
27/Aug/2020;EUR;5,12;65.325.177,00;334.783.288,11;102,49;103,48
26/Aug/2020;EUR;5,12;65.225.177,00;334.080.079,22;102,43;103,44
25/Aug/2020;EUR;5,12;65.225.177,00;334.039.714,51;102,42;103,43
24/Aug/2020;EUR;5,12;64.775.177,00;331.494.264,05;102,34;103,36
21/Aug/2020;EUR;5,11;64.755.177,00;331.072.017,70;102,24;103,25
20/Aug/2020;EUR;5,11;64.755.177,00;330.966.713,86;102,21;103,22
19/Aug/2020;EUR;5,11;64.677.570,00;330.460.986,54;102,18;103,20
18/Aug/2020;EUR;5,11;64.677.570,00;330.333.769,48;102,14;103,16
17/Aug/2020;EUR;5,11;64.027.570,00;327.106.379,60;102,17;103,19
14/Aug/2020;EUR;5,11;64.007.570,00;327.196.545,97;102,23;103,23
13/Aug/2020;EUR;5,12;63.967.997,00;327.489.662,95;102,38;103,38
12/Aug/2020;EUR;5,11;63.967.997,00;327.110.966,65;102,26;103,28
11/Aug/2020;EUR;5,10;64.084.408,00;327.088.010,35;102,07;103,09
10/Aug/2020;EUR;5,09;64.084.408,00;326.466.834,90;101,88;102,90
07/Aug/2020;EUR;5,09;63.939.623,00;325.404.677,23;101,77;102,77
06/Aug/2020;EUR;5,09;63.789.623,00;324.448.520,51;101,71;102,71
05/Aug/2020;EUR;5,08;63.789.623,00;323.873.002,44;101,53;102,54
04/Aug/2020;EUR;5,07;63.789.623,00;323.168.109,23;101,31;102,32
03/Aug/2020;EUR;5,06;63.789.623,00;322.639.131,86;101,15;102,15
31/Jul/2020;EUR;5,06;63.769.623,00;322.405.737,71;101,11;102,12
30/Jul/2020;EUR;5,05;63.769.623,00;322.324.171,27;101,08;102,10
29/Jul/2020;EUR;5,06;63.769.623,00;322.832.668,48;101,24;102,28
28/Jul/2020;EUR;5,06;63.769.623,00;322.898.034,39;101,26;102,29
27/Jul/2020;EUR;5,07;62.860.689,00;318.555.948,38;101,34;102,37
24/Jul/2020;EUR;5,07;62.860.689,00;318.653.944,29;101,37;102,38
23/Jul/2020;EUR;5,07;62.860.689,00;318.632.148,43;101,37;102,37
22/Jul/2020;EUR;5,05;61.310.689,00;309.831.657,82;101,06;102,09
21/Jul/2020;EUR;5,05;61.310.689,00;309.480.080,15;100,94;101,97
20/Jul/2020;EUR;5,03;61.109.193,00;307.536.601,47;100,64;101,67
17/Jul/2020;EUR;5,03;61.967.549,00;311.447.298,87;100,51;101,52
16/Jul/2020;EUR;5,02;63.519.701,00;318.888.276,54;100,40;101,40
15/Jul/2020;EUR;5,02;63.519.701,00;318.559.190,40;100,29;101,32
14/Jul/2020;EUR;5,00;63.519.701,00;317.916.096,24;100,09;101,12
13/Jul/2020;EUR;5,00;63.519.701,00;317.847.922,94;100,07;101,09
10/Jul/2020;EUR;5,00;63.590.913,00;318.108.732,69;100,04;101,04
09/Jul/2020;EUR;5,01;63.390.913,00;317.308.168,02;100,10;101,10
08/Jul/2020;EUR;5,00;63.390.913,00;317.148.228,01;100,05;101,08
07/Jul/2020;EUR;5,00;63.390.913,00;317.269.903,39;100,09;101,11
06/Jul/2020;EUR;5,00;63.340.913,00;316.927.493,50;100,06;101,08
03/Jul/2020;EUR;4,99;63.630.242,00;317.799.999,06;99,88;100,88
02/Jul/2020;EUR;4,99;63.630.242,00;317.512.164,48;99,79;100,79
01/Jul/2020;EUR;4,98;63.610.242,00;316.806.627,24;99,60;100,62
30/Jun/2020;EUR;4,98;63.610.242,00;316.674.272,28;99,56;100,61
29/Jun/2020;EUR;4,98;63.610.242,00;316.595.042,24;99,53;100,60
26/Jun/2020;EUR;4,98;63.910.242,00;318.367.661,93;99,62;100,66
25/Jun/2020;EUR;4,98;63.910.242,00;318.356.301,16;99,62;100,66
24/Jun/2020;EUR;4,99;63.860.242,00;318.768.666,63;99,82;100,88
23/Jun/2020;EUR;4,99;63.404.583,00;316.698.140,01;99,89;100,94
22/Jun/2020;EUR;4,99;63.252.083,00;315.657.562,27;99,80;100,85
19/Jun/2020;EUR;5,00;63.252.083,00;316.479.786,08;100,06;101,09
18/Jun/2020;EUR;5,01;63.252.083,00;316.696.768,49;100,13;101,16
17/Jun/2020;EUR;5,02;59.376.919,00;297.799.302,90;100,30;101,34
16/Jun/2020;EUR;5,01;59.376.919,00;297.545.344,97;100,21;101,25
15/Jun/2020;EUR;4,96;59.326.919,00;294.268.568,21;99,19;100,22
12/Jun/2020;EUR;4,97;59.326.919,00;294.838.490,66;99,38;100,39
11/Jun/2020;EUR;4,97;59.326.919,00;294.617.631,95;99,31;100,31
10/Jun/2020;EUR;5,01;58.931.919,00;295.353.507,27;100,23;101,25
09/Jun/2020;EUR;5,03;58.681.919,00;295.099.846,00;100,57;101,59
08/Jun/2020;EUR;5,05;58.532.295,00;295.410.741,02;100,93;101,95
05/Jun/2020;EUR;5,02;58.052.533,00;291.583.853,79;100,44;101,44
04/Jun/2020;EUR;4,98;58.537.580,00;291.511.158,30;99,59;100,57
03/Jun/2020;EUR;4,96;58.287.580,00;288.938.487,71;99,13;100,13
02/Jun/2020;EUR;4,93;56.827.580,00;280.163.232,30;98,59;99,59
01/Jun/2020;EUR;4,90;56.827.580,00;278.534.569,70;98,02;99,01
29/May/2020;EUR;4,89;56.827.580,00;277.888.071,70;97,79;98,78
28/May/2020;EUR;4,88;56.687.580,00;276.579.817,46;97,57;98,56
27/May/2020;EUR;4,85;56.550.580,00;274.392.981,27;97,03;98,03
26/May/2020;EUR;4,80;56.550.580,00;271.569.631,83;96,03;97,01
22/May/2020;EUR;4,77;56.185.117,00;268.072.128,65;95,41;96,36
21/May/2020;EUR;4,77;56.223.921,00;267.912.620,52;95,29;96,23
20/May/2020;EUR;4,75;55.623.921,00;264.136.935,74;94,96;95,93
19/May/2020;EUR;4,73;55.468.921,00;262.348.472,05;94,58;95,54
18/May/2020;EUR;4,71;55.448.921,00;261.070.997,13;94,16;95,11
15/May/2020;EUR;4,70;50.876.681,00;238.937.612,54;93,92;94,85
14/May/2020;EUR;4,71;42.526.681,00;200.126.286,09;94,11;95,04
13/May/2020;EUR;4,73;34.126.849,00;161.389.020,81;94,57;95,54
12/May/2020;EUR;4,73;30.246.462,00;143.166.545,80;94,66;95,62
11/May/2020;EUR;4,73;30.246.462,00;143.189.211,52;94,67;95,63
07/May/2020;EUR;4,72;31.896.462,00;150.652.711,39;94,45;95,37
06/May/2020;EUR;4,72;33.727.276,00;159.236.309,28;94,42;95,33
05/May/2020;EUR;4,72;32.219.297,00;151.988.320,70;94,34;95,28
04/May/2020;EUR;4,72;31.919.297,00;150.528.470,63;94,31;95,25
01/May/2020;EUR;4,75;31.919.297,00;151.656.252,92;95,01;95,94
30/Apr/2020;EUR;4,75;31.919.297,00;151.660.972,25;95,02;96,02
29/Apr/2020;EUR;4,74;29.688.050,00;140.799.006,40;94,84;95,85
28/Apr/2020;EUR;4,74;29.688.050,00;140.847.427,87;94,88;95,86
27/Apr/2020;EUR;4,73;30.270.114,00;143.300.990,97;94,67;95,66
24/Apr/2020;EUR;4,72;30.270.114,00;142.921.659,73;94,42;95,38
23/Apr/2020;EUR;4,72;28.168.219,00;133.001.630,51;94,42;95,38
22/Apr/2020;EUR;4,71;28.653.271,00;134.813.700,93;94,09;95,06
21/Apr/2020;EUR;4,71;28.653.271,00;134.817.431,74;94,09;95,05
20/Apr/2020;EUR;4,73;29.053.267,00;137.508.517,71;94,65;95,61
17/Apr/2020;EUR;4,74;27.113.053,00;128.408.418,07;94,71;95,65
16/Apr/2020;EUR;4,73;27.113.053,00;128.231.936,80;94,58;95,52
15/Apr/2020;EUR;4,75;27.113.053,00;128.681.481,72;94,91;95,87
14/Apr/2020;EUR;4,74;27.113.053,00;128.418.689,33;94,72;95,67
09/Apr/2020;EUR;4,66;27.113.053,00;126.227.908,92;93,10;93,97
08/Apr/2020;EUR;4,58;26.813.049,00;122.819.506,10;91,60;92,42
07/Apr/2020;EUR;4,55;25.536.970,00;116.287.709,88;91,06;91,91
06/Apr/2020;EUR;4,51;25.536.970,00;115.099.966,02;90,13;90,96
03/Apr/2020;EUR;4,49;24.168.997,00;108.465.118,93;89,75;90,54
02/Apr/2020;EUR;4,49;24.168.997,00;108.456.354,50;89,74;90,51
01/Apr/2020;EUR;4,48;24.168.997,00;108.360.572,13;89,66;90,43
31/Mar/2020;EUR;4,48;24.168.997,00;108.376.838,88;89,67;90,46
30/Mar/2020;EUR;4,44;24.093.729,00;107.031.325,82;88,84;89,64
27/Mar/2020;EUR;4,46;24.093.729,00;107.415.235,55;89,16;89,90
26/Mar/2020;EUR;4,42;17.698.375,00;78.284.764,89;88,46;89,20
25/Mar/2020;EUR;4,36;14.788.070,00;64.448.885,07;87,15;87,92
24/Mar/2020;EUR;4,27;14.698.441,00;62.751.565,62;85,38;86,22
23/Mar/2020;EUR;4,23;23.429.370,00;99.018.945,64;84,52;85,39
20/Mar/2020;EUR;4,27;23.429.370,00;100.142.010,84;85,48;86,30
19/Mar/2020;EUR;4,26;24.179.370,00;102.899.491,45;85,10;85,92
18/Mar/2020;EUR;4,32;17.729.370,00;76.621.780,97;86,43;87,21
17/Mar/2020;EUR;4,46;24.235.004,00;108.032.323,05;89,14;89,86
16/Mar/2020;EUR;4,54;27.004.564,00;122.684.390,95;90,85;91,55
13/Mar/2020;EUR;4,73;33.035.788,00;156.343.441,67;94,64;95,22
12/Mar/2020;EUR;4,76;36.735.788,00;175.040.212,39;95,29;95,84
11/Mar/2020;EUR;4,94;37.399.006,00;184.752.266,53;98,79;99,30
10/Mar/2020;EUR;4,99;37.597.885,00;187.550.413,40;99,76;100,24
09/Mar/2020;EUR;4,98;40.397.885,00;200.994.559,55;99,50;99,99
06/Mar/2020;EUR;5,14;40.247.885,00;207.029.523,92;102,87;103,31
05/Mar/2020;EUR;5,21;40.247.885,00;209.867.194,71;104,28;104,70
04/Mar/2020;EUR;5,23;40.617.885,00;212.565.029,66;104,65;105,08
03/Mar/2020;EUR;5,22;42.616.616,00;222.616.446,24;104,46;104,87
02/Mar/2020;EUR;5,19;44.940.616,00;233.361.606,94;103,84;104,25
28/Feb/2020;EUR;5,19;48.080.626,00;249.740.548,50;103,87;104,28
27/Feb/2020;EUR;5,26;48.080.626,00;252.757.232,58;105,13;105,49
26/Feb/2020;EUR;5,28;48.830.626,00;258.040.436,80;105,68;106,06
25/Feb/2020;EUR;5,31;48.830.626,00;259.086.651,48;106,11;106,48
24/Feb/2020;EUR;5,32;46.254.784,00;245.954.877,62;106,34;106,69
21/Feb/2020;EUR;5,35;48.535.092,00;259.590.017,67;106,96;107,27
20/Feb/2020;EUR;5,35;47.585.288,00;254.696.257,71;107,04;107,35
19/Feb/2020;EUR;5,35;47.189.003,00;252.301.709,28;106,92;107,25
18/Feb/2020;EUR;5,34;44.349.003,00;236.992.825,48;106,87;106,81
17/Feb/2020;EUR;5,35;43.349.003,00;231.746.821,44;106,91;107,24
14/Feb/2020;EUR;5,34;44.251.108,00;236.442.743,14;106,85;107,16
13/Feb/2020;EUR;5,34;41.051.108,00;219.138.842,88;106,75;107,06
12/Feb/2020;EUR;5,34;41.051.108,00;219.104.141,35;106,74;107,06
11/Feb/2020;EUR;5,33;36.135.504,00;192.670.786,17;106,63;106,95
10/Feb/2020;EUR;5,33;36.135.504,00;192.427.890,19;106,49;106,82
07/Feb/2020;EUR;5,33;36.584.001,00;194.957.523,37;106,57;106,87
06/Feb/2020;EUR;5,33;36.682.202,00;195.516.462,09;106,59;106,89
05/Feb/2020;EUR;5,32;40.485.564,00;215.434.188,60;106,41;106,74
04/Feb/2020;EUR;5,31;33.641.275,00;178.683.204,65;106,22;106,54
03/Feb/2020;EUR;5,30;33.641.275,00;178.329.562,39;106,01;106,33
31/Jan/2020;EUR;5,31;33.641.275,00;178.491.618,60;106,10;106,43
30/Jan/2020;EUR;5,31;31.241.275,00;165.790.906,88;106,12;106,46
29/Jan/2020;EUR;5,31;31.191.275,00;165.671.063,94;106,22;106,56
28/Jan/2020;EUR;5,31;31.491.275,00;167.107.532,72;106,12;106,46
27/Jan/2020;EUR;5,30;31.491.275,00;167.047.655,64;106,08;106,43
24/Jan/2020;EUR;5,32;31.491.275,00;167.646.477,95;106,46;106,78
23/Jan/2020;EUR;5,32;31.491.275,00;167.664.351,66;106,47;106,79
22/Jan/2020;EUR;5,33;31.491.275,00;167.767.689,17;106,54;106,88
21/Jan/2020;EUR;5,33;31.491.275,00;167.801.377,52;106,56;106,90
20/Jan/2020;EUR;5,33;30.971.285,00;165.114.800,21;106,61;106,95
17/Jan/2020;EUR;5,33;30.671.285,00;163.444.051,95;106,57;106,88
16/Jan/2020;EUR;5,33;30.671.285,00;163.351.344,14;106,51;106,82
15/Jan/2020;EUR;5,32;30.671.285,00;163.183.146,18;106,40;106,73
14/Jan/2020;EUR;5,32;30.290.770,00;161.138.386,10;106,38;106,71
13/Jan/2020;EUR;5,32;29.890.770,00;158.992.974,00;106,37;106,70
10/Jan/2020;EUR;5,32;29.890.770,00;158.923.711,37;106,33;106,63
09/Jan/2020;EUR;5,31;29.890.770,00;158.794.911,99;106,24;106,54
08/Jan/2020;EUR;5,31;29.890.770,00;158.640.649,26;106,14;106,46
07/Jan/2020;EUR;5,31;29.890.770,00;158.738.885,58;106,20;106,52
06/Jan/2020;EUR;5,31;29.890.770,00;158.687.463,83;106,17;106,49
03/Jan/2020;EUR;5,31;28.830.770,00;153.173.720,16;106,25;106,54
02/Jan/2020;EUR;5,31;28.830.770,00;153.117.751,47;106,21;106,50
31/Dec/2019;EUR;5,30;28.830.770,00;152.873.446,68;106,04;106,35
30/Dec/2019;EUR;5,30;28.810.770,00;152.754.849,19;106,03;106,35
27/Dec/2019;EUR;5,30;28.810.770,00;152.691.002,74;105,98;106,29
24/Dec/2019;EUR;5,30;28.810.770,00;152.681.574,18;105,98;106,26
23/Dec/2019;EUR;5,30;28.760.770,00;152.370.776,68;105,95;106,25
20/Dec/2019;EUR;5,30;28.760.770,00;152.329.948,41;105,92;106,21
19/Dec/2019;EUR;5,29;28.730.770,00;152.114.832,36;105,88;106,17
18/Dec/2019;EUR;5,29;28.730.770,00;152.072.438,74;105,85;106,17
17/Dec/2019;EUR;5,29;27.530.770,00;145.657.389,96;105,80;106,12
16/Dec/2019;EUR;5,29;26.330.770,00;139.269.523,84;105,77;106,09
13/Dec/2019;EUR;5,28;26.330.770,00;139.124.904,12;105,66;105,96
12/Dec/2019;EUR;5,27;26.330.770,00;138.793.218,44;105,41;105,71
11/Dec/2019;EUR;5,27;26.217.770,00;138.105.138,18;105,34;105,66
10/Dec/2019;EUR;5,27;26.010.335,00;136.951.842,57;105,29;105,62
09/Dec/2019;EUR;5,26;26.010.335,00;136.876.115,06;105,24;105,56
06/Dec/2019;EUR;5,26;23.623.328,00;124.229.155,70;105,16;105,46
05/Dec/2019;EUR;5,26;23.623.328,00;124.149.822,86;105,10;105,39
04/Dec/2019;EUR;5,25;24.909.406,00;130.783.536,81;105,00;105,31
03/Dec/2019;EUR;5,25;24.939.128,00;130.897.914,24;104,96;105,28
02/Dec/2019;EUR;5,25;24.939.128,00;130.965.842,76;105,02;105,34
29/Nov/2019;EUR;5,25;24.907.028,00;130.772.354,39;105,00;105,32
28/Nov/2019;EUR;5,25;24.907.028,00;130.713.548,80;104,95;105,28
27/Nov/2019;EUR;5,24;24.907.028,00;130.557.369,92;104,82;105,18
26/Nov/2019;EUR;5,23;24.907.028,00;130.377.019,31;104,68;105,03
25/Nov/2019;EUR;5,22;23.477.028,00;122.637.622,05;104,46;104,82
22/Nov/2019;EUR;5,22;23.477.028,00;122.476.763,09;104,33;104,66
21/Nov/2019;EUR;5,21;23.777.028,00;123.984.187,00;104,28;104,62
20/Nov/2019;EUR;5,22;20.027.028,00;104.461.580,66;104,31;104,67
19/Nov/2019;EUR;5,22;22.404.740,00;116.889.292,86;104,33;104,69
18/Nov/2019;EUR;5,22;20.154.740,00;105.138.209,05;104,32;104,68
15/Nov/2019;EUR;5,22;20.154.740,00;105.130.106,66;104,31;104,65
14/Nov/2019;EUR;5,22;20.154.740,00;105.173.397,38;104,36;104,70
13/Nov/2019;EUR;5,22;22.294.703,00;116.382.338,53;104,39;104,76
12/Nov/2019;EUR;5,22;22.294.703,00;116.429.968,93;104,44;104,80
11/Nov/2019;EUR;5,22;22.294.703,00;116.416.598,41;104,42;104,79
08/Nov/2019;EUR;5,22;22.294.703,00;116.445.270,09;104,45;104,79
07/Nov/2019;EUR;5,22;22.294.703,00;116.403.041,06;104,41;104,75
06/Nov/2019;EUR;5,22;22.294.703,00;116.307.587,19;104,33;104,68
05/Nov/2019;EUR;5,21;22.294.703,00;116.262.507,80;104,29;104,64
04/Nov/2019;EUR;5,21;22.294.703,00;116.140.152,83;104,18;104,53
01/Nov/2019;EUR;5,20;22.294.703,00;115.939.514,97;104,00;104,33
31/Oct/2019;EUR;5,20;22.294.703,00;115.910.688,16;103,97;104,32
30/Oct/2019;EUR;5,20;22.294.703,00;115.866.034,91;103,93;104,31
29/Oct/2019;EUR;5,20;21.799.351,00;113.340.919,25;103,97;104,35
28/Oct/2019;EUR;5,20;21.799.351,00;113.340.676,29;103,97;104,35
25/Oct/2019;EUR;5,20;21.799.351,00;113.364.172,34;104,00;104,35
24/Oct/2019;EUR;5,20;21.799.351,00;113.459.678,88;104,08;104,43
23/Oct/2019;EUR;5,21;21.799.351,00;113.605.974,06;104,22;104,59
22/Oct/2019;EUR;5,21;21.799.351,00;113.579.058,36;104,19;104,56
21/Oct/2019;EUR;5,20;21.101.335,00;109.831.347,86;104,09;104,46
18/Oct/2019;EUR;5,20;21.101.335,00;109.768.382,00;104,03;104,38
17/Oct/2019;EUR;5,20;21.101.335,00;109.819.617,85;104,08;104,43
16/Oct/2019;EUR;5,20;21.891.335,00;113.877.071,14;104,03;104,40
15/Oct/2019;EUR;5,20;21.891.335,00;113.748.024,97;103,91;104,29
14/Oct/2019;EUR;5,19;21.891.335,00;113.673.244,70;103,84;104,22
11/Oct/2019;EUR;5,19;21.891.335,00;113.631.112,51;103,80;104,16
10/Oct/2019;EUR;5,18;21.891.335,00;113.334.244,84;103,53;103,89
09/Oct/2019;EUR;5,17;21.891.335,00;113.199.042,60;103,41;103,79
08/Oct/2019;EUR;5,16;20.966.335,00;108.287.814,72;103,29;103,67
07/Oct/2019;EUR;5,17;20.874.351,00;107.976.075,45;103,44;103,83
04/Oct/2019;EUR;5,18;21.133.877,00;109.477.641,32;103,59;103,94
03/Oct/2019;EUR;5,19;21.533.877,00;111.770.884,82;103,80;104,15
02/Oct/2019;EUR;5,20;21.930.169,00;114.087.102,70;104,03;104,40
