As Of;Currency;NAV;Securities In Issue;Net Assets;Fund Return Series;Benchmark Return Series
22/Feb/2022;EUR;5,32;97.784.996,00;520.459.003,37;106,44;107,83
21/Feb/2022;EUR;5,34;93.784.994,00;500.984.112,01;106,83;108,21
18/Feb/2022;EUR;5,35;97.785.013,00;522.929.530,26;106,94;108,31
17/Feb/2022;EUR;5,35;100.578.431,00;538.147.364,47;107,00;108,37
16/Feb/2022;EUR;5,35;99.504.793,00;532.093.111,78;106,94;108,32
15/Feb/2022;EUR;5,34;99.948.537,00;533.305.573,45;106,70;108,09
14/Feb/2022;EUR;5,33;99.918.537,00;532.772.814,86;106,63;108,01
11/Feb/2022;EUR;5,35;101.998.823,00;546.018.610,82;107,05;108,41
10/Feb/2022;EUR;5,37;101.998.823,00;547.457.710,74;107,33;108,70
09/Feb/2022;EUR;5,36;101.809.300,00;546.205.066,35;107,29;108,67
08/Feb/2022;EUR;5,35;104.343.749,00;557.731.330,76;106,89;108,27
07/Feb/2022;EUR;5,34;102.124.492,00;544.996.331,57;106,72;108,10
04/Feb/2022;EUR;5,37;102.024.492,00;548.334.387,97;107,48;108,84
03/Feb/2022;EUR;5,43;97.306.773,00;527.906.815,01;108,49;109,86
02/Feb/2022;EUR;5,44;97.306.773,00;529.063.187,03;108,73;110,13
01/Feb/2022;EUR;5,43;96.316.779,00;522.969.317,88;108,58;109,98
31/Jan/2022;EUR;5,43;103.884.442,00;564.205.065,77;108,61;110,02
28/Jan/2022;EUR;5,45;113.655.722,00;619.401.945,84;108,98;110,37
27/Jan/2022;EUR;5,47;112.155.722,00;613.088.657,44;109,32;110,70
26/Jan/2022;EUR;5,47;112.275.741,00;614.401.583,43;109,43;110,83
25/Jan/2022;EUR;5,47;114.175.779,00;624.077.533,11;109,31;110,71
24/Jan/2022;EUR;5,48;114.675.779,00;628.211.430,14;109,55;110,95
21/Jan/2022;EUR;5,49;114.675.779,00;629.816.220,24;109,83;111,21
20/Jan/2022;EUR;5,50;116.100.563,00;638.196.634,97;109,93;111,30
19/Jan/2022;EUR;5,50;116.100.563,00;638.039.664,83;109,90;111,30
18/Jan/2022;EUR;5,50;116.100.563,00;638.550.023,29;109,99;111,39
17/Jan/2022;EUR;5,51;116.100.563,00;639.559.263,31;110,16;111,56
14/Jan/2022;EUR;5,51;113.382.063,00;625.150.306,28;110,26;111,64
13/Jan/2022;EUR;5,52;113.324.937,00;625.397.822,18;110,36;111,74
12/Jan/2022;EUR;5,52;113.324.937,00;625.086.233,39;110,31;111,70
11/Jan/2022;EUR;5,52;113.130.689,00;623.935.592,09;110,29;111,69
10/Jan/2022;EUR;5,52;113.130.689,00;624.238.738,75;110,35;111,74
07/Jan/2022;EUR;5,52;109.393.769,00;604.024.418,87;110,42;111,79
06/Jan/2022;EUR;5,52;109.856.003,00;606.623.354,65;110,43;111,80
05/Jan/2022;EUR;5,52;113.569.718,00;627.131.295,63;110,43;111,82
04/Jan/2022;EUR;5,52;112.319.718,00;619.634.694,05;110,32;111,71
31/Dec/2021;EUR;5,51;112.319.718,00;618.867.076,52;110,19;111,54
30/Dec/2021;EUR;5,51;112.119.718,00;617.713.677,20;110,18;111,54
29/Dec/2021;EUR;5,51;104.553.507,00;575.826.651,46;110,14;111,52
24/Dec/2021;EUR;5,51;104.553.507,00;575.974.255,70;110,17;111,51
23/Dec/2021;EUR;5,51;104.553.507,00;575.925.507,20;110,16;111,50
22/Dec/2021;EUR;5,51;110.747.407,00;609.666.735,95;110,09;111,47
21/Dec/2021;EUR;5,50;110.747.407,00;609.538.164,24;110,07;111,44
20/Dec/2021;EUR;5,50;110.747.407,00;609.561.598,59;110,07;111,45
17/Dec/2021;EUR;5,51;111.522.415,00;614.118.952,37;110,12;111,48
16/Dec/2021;EUR;5,51;111.642.434,00;614.679.842,55;110,10;111,46
15/Dec/2021;EUR;5,50;111.642.434,00;614.493.521,76;110,07;111,44
14/Dec/2021;EUR;5,50;111.087.814,00;611.471.193,12;110,08;111,45
13/Dec/2021;EUR;5,50;110.941.587,00;610.675.658,39;110,08;111,45
10/Dec/2021;EUR;5,50;110.366.587,00;607.311.914,06;110,04;111,39
09/Dec/2021;EUR;5,50;110.366.587,00;607.244.745,05;110,03;111,38
08/Dec/2021;EUR;5,50;110.366.587,00;606.856.371,47;109,96;111,32
07/Dec/2021;EUR;5,49;110.366.587,00;606.243.848,21;109,85;111,21
06/Dec/2021;EUR;5,48;110.525.584,00;606.051.023,72;109,66;111,01
03/Dec/2021;EUR;5,48;110.025.573,00;602.956.644,19;109,59;110,92
02/Dec/2021;EUR;5,47;110.025.573,00;602.386.770,98;109,49;110,82
01/Dec/2021;EUR;5,47;110.025.573,00;601.602.367,05;109,35;110,69
30/Nov/2021;EUR;5,46;109.256.742,00;596.591.882,41;109,20;110,56
29/Nov/2021;EUR;5,47;108.586.735,00;593.567.041,53;109,31;110,69
26/Nov/2021;EUR;5,47;108.586.735,00;594.129.726,53;109,42;110,77
25/Nov/2021;EUR;5,50;108.586.735,00;596.776.539,60;109,91;111,26
24/Nov/2021;EUR;5,50;108.546.735,00;596.849.094,35;109,96;111,32
23/Nov/2021;EUR;5,50;108.526.735,00;597.342.933,09;110,07;111,43
22/Nov/2021;EUR;5,51;110.016.382,00;606.113.536,47;110,17;111,54
19/Nov/2021;EUR;5,51;109.356.382,00;602.900.516,88;110,25;111,59
18/Nov/2021;EUR;5,51;108.896.382,00;600.365.493,18;110,25;111,59
17/Nov/2021;EUR;5,51;108.896.382,00;600.072.801,54;110,20;111,56
16/Nov/2021;EUR;5,51;108.896.382,00;600.095.933,69;110,20;111,56
15/Nov/2021;EUR;5,51;108.896.382,00;600.108.458,43;110,20;111,57
12/Nov/2021;EUR;5,51;108.765.565,00;599.494.113,23;110,22;111,56
11/Nov/2021;EUR;5,51;108.765.565,00;599.636.840,26;110,25;111,59
10/Nov/2021;EUR;5,51;108.765.565,00;599.638.508,04;110,25;111,61
09/Nov/2021;EUR;5,51;108.865.565,00;600.207.340,34;110,25;111,61
08/Nov/2021;EUR;5,51;110.265.565,00;607.745.015,64;110,22;111,58
05/Nov/2021;EUR;5,51;110.265.565,00;607.204.437,58;110,12;111,45
04/Nov/2021;EUR;5,50;105.515.565,00;580.221.741,27;109,97;111,30
03/Nov/2021;EUR;5,49;108.178.063,00;594.048.701,34;109,82;111,16
02/Nov/2021;EUR;5,49;107.778.063,00;591.717.171,57;109,79;111,14
01/Nov/2021;EUR;5,49;108.043.139,00;592.968.453,86;109,75;111,10
29/Oct/2021;EUR;5,49;106.314.644,00;583.561.522,76;109,77;111,10
28/Oct/2021;EUR;5,49;105.774.644,00;580.949.583,62;109,84;111,16
27/Oct/2021;EUR;5,49;105.774.644,00;580.703.390,99;109,79;111,13
26/Oct/2021;EUR;5,48;105.870.093,00;580.668.037,62;109,68;111,03
25/Oct/2021;EUR;5,48;105.620.093,00;578.911.612,16;109,61;110,95
22/Oct/2021;EUR;5,48;105.805.112,00;580.338.966,11;109,69;111,00
21/Oct/2021;EUR;5,49;105.715.115,00;579.999.228,54;109,72;111,03
20/Oct/2021;EUR;5,49;105.715.115,00;580.112.188,14;109,74;111,08
19/Oct/2021;EUR;5,49;105.767.098,00;580.313.148,72;109,72;111,06
18/Oct/2021;EUR;5,49;105.667.098,00;579.812.367,26;109,73;111,07
15/Oct/2021;EUR;5,49;105.667.098,00;580.065.873,10;109,78;111,09
14/Oct/2021;EUR;5,48;105.667.098,00;579.374.617,22;109,65;110,96
13/Oct/2021;EUR;5,47;106.337.117,00;581.679.883,01;109,39;110,73
12/Oct/2021;EUR;5,47;106.337.117,00;581.568.257,07;109,37;110,71
11/Oct/2021;EUR;5,48;106.337.117,00;582.983.983,87;109,64;110,97
08/Oct/2021;EUR;5,49;106.337.117,00;584.057.339,78;109,84;111,14
07/Oct/2021;EUR;5,49;106.337.117,00;584.014.245,19;109,83;111,13
06/Oct/2021;EUR;5,49;106.392.585,00;584.261.101,89;109,82;111,14
05/Oct/2021;EUR;5,51;107.044.785,00;589.473.951,83;110,12;111,45
04/Oct/2021;EUR;5,51;106.819.785,00;588.954.029,54;110,26;111,58
01/Oct/2021;EUR;5,51;107.300.509,00;591.601.595,05;110,26;111,56
30/Sept/2021;EUR;5,52;107.300.509,00;592.180.373,73;110,37;111,67
29/Sept/2021;EUR;5,52;107.300.509,00;592.433.781,38;110,41;111,74
28/Sept/2021;EUR;5,52;107.300.509,00;592.726.500,52;110,47;111,79
27/Sept/2021;EUR;5,53;107.300.509,00;593.578.153,71;110,63;111,95
24/Sept/2021;EUR;5,54;107.000.509,00;592.248.646,69;110,69;111,99
23/Sept/2021;EUR;5,54;106.350.509,00;589.116.149,29;110,78;112,08
22/Sept/2021;EUR;5,54;106.049.131,00;587.557.008,15;110,80;112,11
21/Sept/2021;EUR;5,54;106.049.131,00;587.448.292,69;110,78;112,09
20/Sept/2021;EUR;5,54;108.487.931,00;601.056.532,97;110,79;112,11
17/Sept/2021;EUR;5,55;108.487.931,00;601.664.009,67;110,91;112,20
16/Sept/2021;EUR;5,55;108.487.931,00;601.747.169,90;110,92;112,21
15/Sept/2021;EUR;5,54;99.159.428,00;549.660.902,00;110,85;112,16
14/Sept/2021;EUR;5,54;94.055.568,00;520.968.556,17;110,77;112,08
13/Sept/2021;EUR;5,54;94.055.568,00;520.779.613,23;110,73;112,03
10/Sept/2021;EUR;5,54;92.061.820,00;509.619.340,32;110,70;111,98
09/Sept/2021;EUR;5,53;93.994.721,00;520.218.921,17;110,68;111,96
08/Sept/2021;EUR;5,53;93.938.423,00;519.778.608,14;110,65;111,95
07/Sept/2021;EUR;5,53;93.818.423,00;519.086.102,45;110,65;111,94
06/Sept/2021;EUR;5,53;93.918.423,00;519.627.265,37;110,64;111,94
03/Sept/2021;EUR;5,53;86.867.475,00;480.550.283,83;110,63;111,90
02/Sept/2021;EUR;5,53;85.267.614,00;471.610.964,20;110,61;111,88
01/Sept/2021;EUR;5,53;85.267.614,00;471.322.858,13;110,54;111,83
31/Aug/2021;EUR;5,53;85.192.549,00;470.735.644,09;110,50;111,79
27/Aug/2021;EUR;5,52;85.192.549,00;470.552.769,36;110,46;111,72
26/Aug/2021;EUR;5,52;85.152.540,00;470.325.862,86;110,46;111,72
25/Aug/2021;EUR;5,52;85.152.540,00;470.214.956,22;110,43;111,72
24/Aug/2021;EUR;5,52;85.232.540,00;470.682.433,18;110,44;111,72
