As Of;Currency;NAV
09/Apr/2025;EUR;225,75
08/Apr/2025;EUR;226,19
07/Apr/2025;EUR;226,17
04/Apr/2025;EUR;227,21
03/Apr/2025;EUR;227,33
02/Apr/2025;EUR;227,11
01/Apr/2025;EUR;227,59
31/Mar/2025;EUR;227,08
28/Mar/2025;EUR;226,74
27/Mar/2025;EUR;226,40
26/Mar/2025;EUR;226,37
25/Mar/2025;EUR;226,45
24/Mar/2025;EUR;226,71
21/Mar/2025;EUR;226,71
20/Mar/2025;EUR;226,48
19/Mar/2025;EUR;226,79
18/Mar/2025;EUR;226,34
17/Mar/2025;EUR;226,66
14/Mar/2025;EUR;225,46
13/Mar/2025;EUR;225,26
12/Mar/2025;EUR;225,67
11/Mar/2025;EUR;225,83
10/Mar/2025;EUR;225,69
07/Mar/2025;EUR;225,68
06/Mar/2025;EUR;225,50
05/Mar/2025;EUR;226,93
04/Mar/2025;EUR;228,71
03/Mar/2025;EUR;228,94
28/Feb/2025;EUR;229,86
27/Feb/2025;EUR;229,92
26/Feb/2025;EUR;229,56
25/Feb/2025;EUR;228,91
24/Feb/2025;EUR;228,89
21/Feb/2025;EUR;229,05
20/Feb/2025;EUR;228,63
19/Feb/2025;EUR;228,47
18/Feb/2025;EUR;229,08
17/Feb/2025;EUR;228,79
14/Feb/2025;EUR;229,44
13/Feb/2025;EUR;229,85
12/Feb/2025;EUR;229,07
11/Feb/2025;EUR;229,67
10/Feb/2025;EUR;230,70
07/Feb/2025;EUR;230,35
06/Feb/2025;EUR;230,71
05/Feb/2025;EUR;230,55
04/Feb/2025;EUR;230,24
03/Feb/2025;EUR;230,69
31/Jan/2025;EUR;229,21
30/Jan/2025;EUR;228,70
29/Jan/2025;EUR;228,01
28/Jan/2025;EUR;228,11
27/Jan/2025;EUR;228,00
24/Jan/2025;EUR;228,03
23/Jan/2025;EUR;228,22
22/Jan/2025;EUR;228,43
21/Jan/2025;EUR;228,47
20/Jan/2025;EUR;228,56
17/Jan/2025;EUR;228,67
16/Jan/2025;EUR;228,03
15/Jan/2025;EUR;228,17
14/Jan/2025;EUR;226,56
13/Jan/2025;EUR;226,77
10/Jan/2025;EUR;226,88
09/Jan/2025;EUR;227,22
08/Jan/2025;EUR;227,98
07/Jan/2025;EUR;228,29
06/Jan/2025;EUR;228,59
03/Jan/2025;EUR;227,81
02/Jan/2025;EUR;228,71
31/Dec/2024;EUR;228,33
30/Dec/2024;EUR;228,49
27/Dec/2024;EUR;228,22
24/Dec/2024;EUR;228,70
23/Dec/2024;EUR;228,65
20/Dec/2024;EUR;229,31
19/Dec/2024;EUR;229,29
18/Dec/2024;EUR;230,04
17/Dec/2024;EUR;230,02
16/Dec/2024;EUR;230,49
13/Dec/2024;EUR;230,90
12/Dec/2024;EUR;231,62
11/Dec/2024;EUR;232,38
10/Dec/2024;EUR;232,28
09/Dec/2024;EUR;232,13
06/Dec/2024;EUR;232,13
05/Dec/2024;EUR;232,31
04/Dec/2024;EUR;232,11
03/Dec/2024;EUR;231,51
02/Dec/2024;EUR;231,51
29/Nov/2024;EUR;231,80
28/Nov/2024;EUR;230,79
27/Nov/2024;EUR;229,82
26/Nov/2024;EUR;229,57
25/Nov/2024;EUR;229,81
22/Nov/2024;EUR;229,39
21/Nov/2024;EUR;228,86
20/Nov/2024;EUR;228,80
19/Nov/2024;EUR;229,53
18/Nov/2024;EUR;229,27
15/Nov/2024;EUR;229,36
14/Nov/2024;EUR;229,24
13/Nov/2024;EUR;228,51
12/Nov/2024;EUR;228,99
11/Nov/2024;EUR;229,29
08/Nov/2024;EUR;228,94
07/Nov/2024;EUR;228,22
06/Nov/2024;EUR;228,90
05/Nov/2024;EUR;228,69
04/Nov/2024;EUR;228,33
01/Nov/2024;EUR;227,85
31/Oct/2024;EUR;227,90
30/Oct/2024;EUR;227,53
29/Oct/2024;EUR;227,76
28/Oct/2024;EUR;228,80
25/Oct/2024;EUR;229,23
24/Oct/2024;EUR;230,35
23/Oct/2024;EUR;229,74
22/Oct/2024;EUR;229,92
21/Oct/2024;EUR;229,60
18/Oct/2024;EUR;231,38
17/Oct/2024;EUR;230,96
16/Oct/2024;EUR;231,14
15/Oct/2024;EUR;230,69
14/Oct/2024;EUR;230,49
11/Oct/2024;EUR;230,71
10/Oct/2024;EUR;230,51
09/Oct/2024;EUR;229,53
08/Oct/2024;EUR;229,77
07/Oct/2024;EUR;230,29
04/Oct/2024;EUR;230,48
03/Oct/2024;EUR;230,99
02/Oct/2024;EUR;230,92
01/Oct/2024;EUR;231,28
30/Sept/2024;EUR;229,81
27/Sept/2024;EUR;229,48
26/Sept/2024;EUR;229,41
25/Sept/2024;EUR;229,21
24/Sept/2024;EUR;229,82
23/Sept/2024;EUR;228,72
20/Sept/2024;EUR;228,02
19/Sept/2024;EUR;228,45
18/Sept/2024;EUR;228,79
17/Sept/2024;EUR;229,62
16/Sept/2024;EUR;229,44
13/Sept/2024;EUR;228,57
12/Sept/2024;EUR;227,96
11/Sept/2024;EUR;228,31
10/Sept/2024;EUR;227,92
09/Sept/2024;EUR;228,17
06/Sept/2024;EUR;228,34
05/Sept/2024;EUR;227,88
04/Sept/2024;EUR;227,76
03/Sept/2024;EUR;227,11
02/Sept/2024;EUR;226,66
30/Aug/2024;EUR;226,96
29/Aug/2024;EUR;227,09
28/Aug/2024;EUR;227,56
27/Aug/2024;EUR;227,39
23/Aug/2024;EUR;228,50
22/Aug/2024;EUR;227,48
21/Aug/2024;EUR;227,84
20/Aug/2024;EUR;227,71
19/Aug/2024;EUR;227,31
16/Aug/2024;EUR;227,47
15/Aug/2024;EUR;227,61
14/Aug/2024;EUR;228,25
13/Aug/2024;EUR;228,50
12/Aug/2024;EUR;227,68
09/Aug/2024;EUR;227,43
08/Aug/2024;EUR;227,18
07/Aug/2024;EUR;227,35
06/Aug/2024;EUR;227,92
05/Aug/2024;EUR;227,27
02/Aug/2024;EUR;227,97
01/Aug/2024;EUR;228,52
31/Jul/2024;EUR;227,79
30/Jul/2024;EUR;226,91
29/Jul/2024;EUR;226,71
26/Jul/2024;EUR;226,06
25/Jul/2024;EUR;226,01
24/Jul/2024;EUR;226,02
23/Jul/2024;EUR;226,22
22/Jul/2024;EUR;226,66
19/Jul/2024;EUR;227,05
18/Jul/2024;EUR;227,98
17/Jul/2024;EUR;227,67
16/Jul/2024;EUR;227,36
15/Jul/2024;EUR;226,93
12/Jul/2024;EUR;226,34
11/Jul/2024;EUR;226,78
10/Jul/2024;EUR;225,69
09/Jul/2024;EUR;224,69
08/Jul/2024;EUR;226,06
05/Jul/2024;EUR;225,54
04/Jul/2024;EUR;224,29
03/Jul/2024;EUR;224,48
02/Jul/2024;EUR;223,27
01/Jul/2024;EUR;222,75
28/Jun/2024;EUR;223,37
27/Jun/2024;EUR;224,06
26/Jun/2024;EUR;224,13
25/Jun/2024;EUR;225,02
24/Jun/2024;EUR;225,20
21/Jun/2024;EUR;225,19
20/Jun/2024;EUR;225,36
19/Jun/2024;EUR;225,40
18/Jun/2024;EUR;226,29
17/Jun/2024;EUR;225,25
14/Jun/2024;EUR;225,51
13/Jun/2024;EUR;224,51
12/Jun/2024;EUR;225,00
11/Jun/2024;EUR;223,48
10/Jun/2024;EUR;223,82
07/Jun/2024;EUR;225,23
06/Jun/2024;EUR;226,01
05/Jun/2024;EUR;226,60
04/Jun/2024;EUR;225,86
03/Jun/2024;EUR;225,70
31/May/2024;EUR;225,27
30/May/2024;EUR;225,01
29/May/2024;EUR;224,56
28/May/2024;EUR;225,60
24/May/2024;EUR;225,57
23/May/2024;EUR;225,56
22/May/2024;EUR;226,54
21/May/2024;EUR;226,71
20/May/2024;EUR;226,42
17/May/2024;EUR;226,95
16/May/2024;EUR;227,85
15/May/2024;EUR;227,87
14/May/2024;EUR;225,97
13/May/2024;EUR;226,45
10/May/2024;EUR;226,30
09/May/2024;EUR;226,80
08/May/2024;EUR;227,03
07/May/2024;EUR;227,52
03/May/2024;EUR;226,70
02/May/2024;EUR;226,04
01/May/2024;EUR;225,90
30/Apr/2024;EUR;225,89
29/Apr/2024;EUR;226,46
26/Apr/2024;EUR;225,58
25/Apr/2024;EUR;224,74
24/Apr/2024;EUR;225,18
23/Apr/2024;EUR;226,51
22/Apr/2024;EUR;226,55
19/Apr/2024;EUR;225,98
18/Apr/2024;EUR;226,33
17/Apr/2024;EUR;227,06
16/Apr/2024;EUR;227,01
15/Apr/2024;EUR;227,34
12/Apr/2024;EUR;228,55
11/Apr/2024;EUR;226,07
10/Apr/2024;EUR;226,70
09/Apr/2024;EUR;227,19
08/Apr/2024;EUR;226,22
05/Apr/2024;EUR;226,44
04/Apr/2024;EUR;226,99
03/Apr/2024;EUR;225,95
02/Apr/2024;EUR;225,77
29/Mar/2024;EUR;227,39
28/Mar/2024;EUR;227,39
27/Mar/2024;EUR;227,79
26/Mar/2024;EUR;227,10
25/Mar/2024;EUR;226,59
22/Mar/2024;EUR;227,08
21/Mar/2024;EUR;226,29
20/Mar/2024;EUR;225,58
19/Mar/2024;EUR;225,94
18/Mar/2024;EUR;225,92
15/Mar/2024;EUR;225,47
14/Mar/2024;EUR;226,11
13/Mar/2024;EUR;226,60
12/Mar/2024;EUR;226,55
11/Mar/2024;EUR;226,51
08/Mar/2024;EUR;227,29
07/Mar/2024;EUR;226,94
06/Mar/2024;EUR;226,61
05/Mar/2024;EUR;226,38
04/Mar/2024;EUR;224,99
01/Mar/2024;EUR;224,81
29/Feb/2024;EUR;225,07
28/Feb/2024;EUR;224,02
27/Feb/2024;EUR;223,56
26/Feb/2024;EUR;223,66
23/Feb/2024;EUR;224,35
22/Feb/2024;EUR;223,27
21/Feb/2024;EUR;223,02
20/Feb/2024;EUR;224,33
19/Feb/2024;EUR;223,98
16/Feb/2024;EUR;224,20
15/Feb/2024;EUR;224,85
14/Feb/2024;EUR;224,85
13/Feb/2024;EUR;224,03
12/Feb/2024;EUR;224,11
09/Feb/2024;EUR;223,79
08/Feb/2024;EUR;224,35
07/Feb/2024;EUR;224,90
06/Feb/2024;EUR;225,06
05/Feb/2024;EUR;224,13
02/Feb/2024;EUR;225,24
01/Feb/2024;EUR;227,06
31/Jan/2024;EUR;226,37
30/Jan/2024;EUR;224,85
29/Jan/2024;EUR;225,65
26/Jan/2024;EUR;224,46
25/Jan/2024;EUR;224,83
24/Jan/2024;EUR;223,96
23/Jan/2024;EUR;223,79
22/Jan/2024;EUR;225,16
19/Jan/2024;EUR;224,75
18/Jan/2024;EUR;224,32
17/Jan/2024;EUR;224,38
16/Jan/2024;EUR;225,64
15/Jan/2024;EUR;226,07
12/Jan/2024;EUR;226,76
11/Jan/2024;EUR;225,56
10/Jan/2024;EUR;225,48
09/Jan/2024;EUR;226,22
08/Jan/2024;EUR;226,83
05/Jan/2024;EUR;226,54
04/Jan/2024;EUR;226,23
03/Jan/2024;EUR;227,68
02/Jan/2024;EUR;228,03
29/Dec/2023;EUR;228,43
28/Dec/2023;EUR;230,19
27/Dec/2023;EUR;231,42
22/Dec/2023;EUR;230,65
21/Dec/2023;EUR;230,59
20/Dec/2023;EUR;230,21
19/Dec/2023;EUR;229,11
18/Dec/2023;EUR;227,56
15/Dec/2023;EUR;228,18
14/Dec/2023;EUR;227,19
13/Dec/2023;EUR;225,26
12/Dec/2023;EUR;224,61
11/Dec/2023;EUR;224,23
08/Dec/2023;EUR;224,48
07/Dec/2023;EUR;226,12
06/Dec/2023;EUR;226,12
05/Dec/2023;EUR;225,71
04/Dec/2023;EUR;223,66
01/Dec/2023;EUR;223,95
30/Nov/2023;EUR;222,50
29/Nov/2023;EUR;222,54
28/Nov/2023;EUR;222,18
27/Nov/2023;EUR;221,98
24/Nov/2023;EUR;220,96
23/Nov/2023;EUR;221,28
22/Nov/2023;EUR;220,92
21/Nov/2023;EUR;221,17
20/Nov/2023;EUR;220,45
17/Nov/2023;EUR;220,00
16/Nov/2023;EUR;220,03
15/Nov/2023;EUR;219,53
14/Nov/2023;EUR;220,26
13/Nov/2023;EUR;218,55
10/Nov/2023;EUR;218,50
09/Nov/2023;EUR;219,10
08/Nov/2023;EUR;219,19
07/Nov/2023;EUR;218,69
06/Nov/2023;EUR;218,04
03/Nov/2023;EUR;219,37
02/Nov/2023;EUR;218,23
01/Nov/2023;EUR;217,48
31/Oct/2023;EUR;217,19
30/Oct/2023;EUR;216,91
27/Oct/2023;EUR;216,66
26/Oct/2023;EUR;216,57
25/Oct/2023;EUR;215,42
24/Oct/2023;EUR;216,59
23/Oct/2023;EUR;216,72
20/Oct/2023;EUR;216,90
19/Oct/2023;EUR;216,04
18/Oct/2023;EUR;216,02
17/Oct/2023;EUR;216,27
16/Oct/2023;EUR;217,05
13/Oct/2023;EUR;217,34
12/Oct/2023;EUR;216,67
11/Oct/2023;EUR;217,60
10/Oct/2023;EUR;216,76
09/Oct/2023;EUR;216,55
06/Oct/2023;EUR;213,82
05/Oct/2023;EUR;214,23
04/Oct/2023;EUR;213,94
03/Oct/2023;EUR;213,87
02/Oct/2023;EUR;215,08
29/Sept/2023;EUR;216,97
28/Sept/2023;EUR;215,37
27/Sept/2023;EUR;217,69
26/Sept/2023;EUR;218,12
25/Sept/2023;EUR;219,07
22/Sept/2023;EUR;220,39
21/Sept/2023;EUR;221,04
20/Sept/2023;EUR;221,41
19/Sept/2023;EUR;221,34
18/Sept/2023;EUR;221,56
15/Sept/2023;EUR;222,03
14/Sept/2023;EUR;223,49
13/Sept/2023;EUR;222,58
12/Sept/2023;EUR;222,88
11/Sept/2023;EUR;222,72
08/Sept/2023;EUR;223,42
07/Sept/2023;EUR;222,89
06/Sept/2023;EUR;222,21
05/Sept/2023;EUR;222,59
04/Sept/2023;EUR;222,93
01/Sept/2023;EUR;223,37
31/Aug/2023;EUR;224,56
30/Aug/2023;EUR;223,90
29/Aug/2023;EUR;223,92
25/Aug/2023;EUR;222,91
24/Aug/2023;EUR;223,80
23/Aug/2023;EUR;224,45
22/Aug/2023;EUR;222,88
21/Aug/2023;EUR;221,59
18/Aug/2023;EUR;222,49
17/Aug/2023;EUR;221,67
16/Aug/2023;EUR;222,53
15/Aug/2023;EUR;222,47
14/Aug/2023;EUR;223,41
11/Aug/2023;EUR;223,45
10/Aug/2023;EUR;224,35
09/Aug/2023;EUR;224,87
08/Aug/2023;EUR;225,75
07/Aug/2023;EUR;224,40
04/Aug/2023;EUR;224,38
03/Aug/2023;EUR;223,46
02/Aug/2023;EUR;224,19
01/Aug/2023;EUR;224,13
31/Jul/2023;EUR;225,13
28/Jul/2023;EUR;224,55
27/Jul/2023;EUR;224,29
26/Jul/2023;EUR;223,78
25/Jul/2023;EUR;224,40
24/Jul/2023;EUR;224,28
21/Jul/2023;EUR;223,85
20/Jul/2023;EUR;222,85
19/Jul/2023;EUR;223,07
18/Jul/2023;EUR;223,98
17/Jul/2023;EUR;221,94
14/Jul/2023;EUR;221,79
13/Jul/2023;EUR;222,59
12/Jul/2023;EUR;221,56
11/Jul/2023;EUR;220,21
10/Jul/2023;EUR;220,81
07/Jul/2023;EUR;220,91
06/Jul/2023;EUR;220,86
05/Jul/2023;EUR;223,26
04/Jul/2023;EUR;223,31
03/Jul/2023;EUR;223,88
30/Jun/2023;EUR;223,75
29/Jun/2023;EUR;224,24
28/Jun/2023;EUR;225,30
27/Jun/2023;EUR;225,69
26/Jun/2023;EUR;226,42
23/Jun/2023;EUR;225,64
22/Jun/2023;EUR;223,65
21/Jun/2023;EUR;224,69
20/Jun/2023;EUR;225,04
19/Jun/2023;EUR;223,22
16/Jun/2023;EUR;224,27
15/Jun/2023;EUR;222,47
14/Jun/2023;EUR;222,50
13/Jun/2023;EUR;222,67
12/Jun/2023;EUR;223,10
09/Jun/2023;EUR;223,53
08/Jun/2023;EUR;222,79
07/Jun/2023;EUR;222,66
06/Jun/2023;EUR;223,14
05/Jun/2023;EUR;223,88
02/Jun/2023;EUR;224,36
01/Jun/2023;EUR;224,17
31/May/2023;EUR;224,59
30/May/2023;EUR;223,92
26/May/2023;EUR;221,44
25/May/2023;EUR;222,14
24/May/2023;EUR;222,41
23/May/2023;EUR;221,20
22/May/2023;EUR;220,80
19/May/2023;EUR;221,14
18/May/2023;EUR;220,45
17/May/2023;EUR;221,61
16/May/2023;EUR;221,41
15/May/2023;EUR;222,10
12/May/2023;EUR;222,57
11/May/2023;EUR;223,63
10/May/2023;EUR;223,11
09/May/2023;EUR;222,03
05/May/2023;EUR;221,97
04/May/2023;EUR;222,49
03/May/2023;EUR;222,19
02/May/2023;EUR;222,76
28/Apr/2023;EUR;222,82
27/Apr/2023;EUR;220,97
26/Apr/2023;EUR;222,10
25/Apr/2023;EUR;222,24
24/Apr/2023;EUR;221,03
21/Apr/2023;EUR;220,66
20/Apr/2023;EUR;221,30
19/Apr/2023;EUR;220,78
18/Apr/2023;EUR;221,35
17/Apr/2023;EUR;221,14
14/Apr/2023;EUR;221,39
13/Apr/2023;EUR;221,98
12/Apr/2023;EUR;221,84
11/Apr/2023;EUR;222,20
06/Apr/2023;EUR;223,96
05/Apr/2023;EUR;224,00
04/Apr/2023;EUR;223,48
03/Apr/2023;EUR;223,96
31/Mar/2023;EUR;222,66
30/Mar/2023;EUR;221,74
29/Mar/2023;EUR;221,94
28/Mar/2023;EUR;221,59
27/Mar/2023;EUR;222,39
24/Mar/2023;EUR;223,38
23/Mar/2023;EUR;223,19
22/Mar/2023;EUR;220,87
21/Mar/2023;EUR;220,67
20/Mar/2023;EUR;221,67
17/Mar/2023;EUR;221,61
16/Mar/2023;EUR;221,54
15/Mar/2023;EUR;223,02
14/Mar/2023;EUR;220,15
13/Mar/2023;EUR;221,95
10/Mar/2023;EUR;219,96
09/Mar/2023;EUR;218,22
08/Mar/2023;EUR;218,12
07/Mar/2023;EUR;218,33
06/Mar/2023;EUR;220,01
03/Mar/2023;EUR;220,85
02/Mar/2023;EUR;219,46
01/Mar/2023;EUR;218,75
28/Feb/2023;EUR;219,27
27/Feb/2023;EUR;219,69
24/Feb/2023;EUR;219,86
23/Feb/2023;EUR;220,51
22/Feb/2023;EUR;218,96
21/Feb/2023;EUR;218,53
20/Feb/2023;EUR;219,84
17/Feb/2023;EUR;219,85
16/Feb/2023;EUR;219,93
15/Feb/2023;EUR;219,63
14/Feb/2023;EUR;220,24
13/Feb/2023;EUR;220,57
10/Feb/2023;EUR;220,51
09/Feb/2023;EUR;221,24
08/Feb/2023;EUR;220,41
07/Feb/2023;EUR;220,92
06/Feb/2023;EUR;220,74
03/Feb/2023;EUR;222,11
02/Feb/2023;EUR;224,26
01/Feb/2023;EUR;219,31
31/Jan/2023;EUR;219,49
30/Jan/2023;EUR;219,43
27/Jan/2023;EUR;220,10
26/Jan/2023;EUR;220,52
25/Jan/2023;EUR;221,06
24/Jan/2023;EUR;221,73
23/Jan/2023;EUR;220,62
20/Jan/2023;EUR;220,26
19/Jan/2023;EUR;222,42
18/Jan/2023;EUR;223,98
17/Jan/2023;EUR;222,01
16/Jan/2023;EUR;220,39
13/Jan/2023;EUR;221,08
12/Jan/2023;EUR;221,40
11/Jan/2023;EUR;220,29
10/Jan/2023;EUR;218,32
09/Jan/2023;EUR;219,40
06/Jan/2023;EUR;220,38
05/Jan/2023;EUR;218,67
04/Jan/2023;EUR;220,54
03/Jan/2023;EUR;219,10
30/Dec/2022;EUR;215,76
29/Dec/2022;EUR;218,11
28/Dec/2022;EUR;216,80
23/Dec/2022;EUR;218,04
22/Dec/2022;EUR;218,33
21/Dec/2022;EUR;218,43
20/Dec/2022;EUR;218,12
19/Dec/2022;EUR;219,78
16/Dec/2022;EUR;220,37
15/Dec/2022;EUR;223,26
14/Dec/2022;EUR;227,08
13/Dec/2022;EUR;228,42
12/Dec/2022;EUR;228,85
09/Dec/2022;EUR;228,66
08/Dec/2022;EUR;230,57
07/Dec/2022;EUR;230,91
06/Dec/2022;EUR;230,58
05/Dec/2022;EUR;230,48
02/Dec/2022;EUR;230,25
01/Dec/2022;EUR;230,90
30/Nov/2022;EUR;227,18
29/Nov/2022;EUR;226,57
28/Nov/2022;EUR;225,18
25/Nov/2022;EUR;225,44
24/Nov/2022;EUR;227,48
23/Nov/2022;EUR;225,88
22/Nov/2022;EUR;224,33
21/Nov/2022;EUR;223,76
18/Nov/2022;EUR;224,00
17/Nov/2022;EUR;223,23
16/Nov/2022;EUR;223,86
15/Nov/2022;EUR;222,10
14/Nov/2022;EUR;221,09
11/Nov/2022;EUR;221,66
10/Nov/2022;EUR;224,60
09/Nov/2022;EUR;221,36
08/Nov/2022;EUR;220,47
07/Nov/2022;EUR;219,14
04/Nov/2022;EUR;219,02
03/Nov/2022;EUR;219,09
02/Nov/2022;EUR;220,53
01/Nov/2022;EUR;220,37
31/Oct/2022;EUR;219,77
28/Oct/2022;EUR;221,72
27/Oct/2022;EUR;222,25
26/Oct/2022;EUR;218,27
25/Oct/2022;EUR;217,98
24/Oct/2022;EUR;214,58
21/Oct/2022;EUR;212,24
20/Oct/2022;EUR;212,10
19/Oct/2022;EUR;211,45
18/Oct/2022;EUR;212,97
17/Oct/2022;EUR;212,94
14/Oct/2022;EUR;211,52
13/Oct/2022;EUR;212,94
12/Oct/2022;EUR;212,32
11/Oct/2022;EUR;212,87
10/Oct/2022;EUR;212,12
07/Oct/2022;EUR;213,17
06/Oct/2022;EUR;215,34
05/Oct/2022;EUR;216,09
04/Oct/2022;EUR;218,05
03/Oct/2022;EUR;216,13
30/Sept/2022;EUR;212,93
29/Sept/2022;EUR;212,74
28/Sept/2022;EUR;214,60
27/Sept/2022;EUR;214,51
26/Sept/2022;EUR;218,52
23/Sept/2022;EUR;220,77
22/Sept/2022;EUR;222,40
21/Sept/2022;EUR;223,17
20/Sept/2022;EUR;222,32
16/Sept/2022;EUR;223,83
15/Sept/2022;EUR;224,44
14/Sept/2022;EUR;223,72
13/Sept/2022;EUR;222,46
12/Sept/2022;EUR;223,24
09/Sept/2022;EUR;222,49
08/Sept/2022;EUR;223,50
07/Sept/2022;EUR;224,67
06/Sept/2022;EUR;224,28
05/Sept/2022;EUR;224,83
02/Sept/2022;EUR;224,81
01/Sept/2022;EUR;224,66
31/Aug/2022;EUR;226,32
30/Aug/2022;EUR;228,59
26/Aug/2022;EUR;231,85
25/Aug/2022;EUR;233,40
24/Aug/2022;EUR;231,95
23/Aug/2022;EUR;233,65
22/Aug/2022;EUR;235,29
19/Aug/2022;EUR;235,27
18/Aug/2022;EUR;237,18
17/Aug/2022;EUR;236,01
16/Aug/2022;EUR;237,05
15/Aug/2022;EUR;238,12
12/Aug/2022;EUR;236,96
11/Aug/2022;EUR;237,37
10/Aug/2022;EUR;237,87
09/Aug/2022;EUR;237,42
08/Aug/2022;EUR;238,01
05/Aug/2022;EUR;237,34
04/Aug/2022;EUR;238,46
03/Aug/2022;EUR;237,26
02/Aug/2022;EUR;237,30
01/Aug/2022;EUR;237,87
29/Jul/2022;EUR;236,59
28/Jul/2022;EUR;235,00
27/Jul/2022;EUR;232,29
26/Jul/2022;EUR;231,95
25/Jul/2022;EUR;229,76
22/Jul/2022;EUR;229,16
21/Jul/2022;EUR;226,76
20/Jul/2022;EUR;227,39
19/Jul/2022;EUR;227,84
18/Jul/2022;EUR;228,30
15/Jul/2022;EUR;229,14
14/Jul/2022;EUR;228,27
13/Jul/2022;EUR;228,99
12/Jul/2022;EUR;229,09
11/Jul/2022;EUR;227,01
08/Jul/2022;EUR;225,82
07/Jul/2022;EUR;226,42
06/Jul/2022;EUR;227,44
05/Jul/2022;EUR;228,36
04/Jul/2022;EUR;225,86
01/Jul/2022;EUR;227,07
30/Jun/2022;EUR;224,41
29/Jun/2022;EUR;224,35
28/Jun/2022;EUR;222,50
27/Jun/2022;EUR;224,31
24/Jun/2022;EUR;224,94
23/Jun/2022;EUR;224,30
22/Jun/2022;EUR;221,91
21/Jun/2022;EUR;219,21
20/Jun/2022;EUR;218,89
17/Jun/2022;EUR;220,08
16/Jun/2022;EUR;220,23
15/Jun/2022;EUR;220,82
14/Jun/2022;EUR;218,64
13/Jun/2022;EUR;221,50
10/Jun/2022;EUR;226,05
09/Jun/2022;EUR;228,56
08/Jun/2022;EUR;230,89
07/Jun/2022;EUR;231,31
06/Jun/2022;EUR;229,59
01/Jun/2022;EUR;230,91
31/May/2022;EUR;231,49
30/May/2022;EUR;232,37
27/May/2022;EUR;232,72
26/May/2022;EUR;232,21
25/May/2022;EUR;232,73
24/May/2022;EUR;233,13
23/May/2022;EUR;233,39
20/May/2022;EUR;234,87
19/May/2022;EUR;236,14
18/May/2022;EUR;235,88
17/May/2022;EUR;235,64
16/May/2022;EUR;236,31
13/May/2022;EUR;234,82
12/May/2022;EUR;235,54
11/May/2022;EUR;233,95
10/May/2022;EUR;232,87
09/May/2022;EUR;233,01
06/May/2022;EUR;233,55
05/May/2022;EUR;237,41
04/May/2022;EUR;238,45
03/May/2022;EUR;239,75
29/Apr/2022;EUR;240,70
28/Apr/2022;EUR;240,26
27/Apr/2022;EUR;240,07
26/Apr/2022;EUR;239,65
25/Apr/2022;EUR;239,60
22/Apr/2022;EUR;239,66
21/Apr/2022;EUR;240,71
20/Apr/2022;EUR;241,67
19/Apr/2022;EUR;240,45
14/Apr/2022;EUR;241,16
13/Apr/2022;EUR;242,45
12/Apr/2022;EUR;241,65
11/Apr/2022;EUR;240,62
08/Apr/2022;EUR;241,79
07/Apr/2022;EUR;241,50
06/Apr/2022;EUR;241,91
05/Apr/2022;EUR;242,19
04/Apr/2022;EUR;243,55
01/Apr/2022;EUR;241,96
31/Mar/2022;EUR;242,74
30/Mar/2022;EUR;242,08
29/Mar/2022;EUR;241,45
28/Mar/2022;EUR;242,03
25/Mar/2022;EUR;242,12
24/Mar/2022;EUR;242,90
23/Mar/2022;EUR;242,57
22/Mar/2022;EUR;240,76
21/Mar/2022;EUR;240,43
18/Mar/2022;EUR;241,30
17/Mar/2022;EUR;240,55
16/Mar/2022;EUR;240,01
15/Mar/2022;EUR;241,46
14/Mar/2022;EUR;242,42
11/Mar/2022;EUR;243,59
10/Mar/2022;EUR;241,58
09/Mar/2022;EUR;245,89
08/Mar/2022;EUR;250,85
07/Mar/2022;EUR;251,19
04/Mar/2022;EUR;248,12
03/Mar/2022;EUR;244,41
02/Mar/2022;EUR;244,39
01/Mar/2022;EUR;244,38
28/Feb/2022;EUR;237,67
25/Feb/2022;EUR;235,69
24/Feb/2022;EUR;237,44
23/Feb/2022;EUR;233,95
22/Feb/2022;EUR;232,62
21/Feb/2022;EUR;232,41
18/Feb/2022;EUR;232,71
17/Feb/2022;EUR;232,31
16/Feb/2022;EUR;231,47
15/Feb/2022;EUR;230,49
14/Feb/2022;EUR;231,43
11/Feb/2022;EUR;231,00
10/Feb/2022;EUR;230,99
09/Feb/2022;EUR;232,33
08/Feb/2022;EUR;231,41
07/Feb/2022;EUR;231,90
04/Feb/2022;EUR;232,89
03/Feb/2022;EUR;234,09
02/Feb/2022;EUR;237,30
01/Feb/2022;EUR;237,34
31/Jan/2022;EUR;238,14
28/Jan/2022;EUR;237,49
27/Jan/2022;EUR;237,01
26/Jan/2022;EUR;236,31
25/Jan/2022;EUR;236,88
24/Jan/2022;EUR;236,65
21/Jan/2022;EUR;236,46
20/Jan/2022;EUR;236,57
19/Jan/2022;EUR;236,19
18/Jan/2022;EUR;236,61
17/Jan/2022;EUR;236,72
14/Jan/2022;EUR;237,10
13/Jan/2022;EUR;237,57
12/Jan/2022;EUR;237,45
11/Jan/2022;EUR;236,65
10/Jan/2022;EUR;236,81
07/Jan/2022;EUR;236,58
06/Jan/2022;EUR;236,70
05/Jan/2022;EUR;238,61
04/Jan/2022;EUR;239,30
31/Dec/2021;EUR;239,02
30/Dec/2021;EUR;239,01
29/Dec/2021;EUR;238,74
24/Dec/2021;EUR;240,33
